11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）
11016,北海道 宗谷地方,稚内（ワッカナイ）
11046,北海道 宗谷地方,礼文（レブン）
11061,北海道 宗谷地方,声問（コエトイ）
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）
11091,北海道 宗谷地方,本泊（モトドマリ）
11121,北海道 宗谷地方,沼川（ヌマカワ）
11151,北海道 宗谷地方,沓形（クツガタ）
11176,北海道 宗谷地方,豊富（トヨトミ）
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）
11276,北海道 宗谷地方,中頓別（ナカトンベツ）
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）
11316,北海道 宗谷地方,歌登（ウタノボリ）
13011,北海道 宗谷地方,幌延（ホロノベ）
12011,北海道 上川地方,中川（ナカガワ）
12041,北海道 上川地方,音威子府（オトイネップ）
12066,北海道 上川地方,小車（オグルマ）
12141,北海道 上川地方,美深（ビフカ）
12181,北海道 上川地方,名寄（ナヨロ）
12217,北海道 上川地方,西風連（ニシフウレン）
12231,北海道 上川地方,下川（シモカワ）
12256,北海道 上川地方,剣淵（ケンブチ）
12261,北海道 上川地方,士別（シベツ）
12266,北海道 上川地方,朝日（アサヒ）
12301,北海道 上川地方,和寒（ワッサム）
12386,北海道 上川地方,江丹別（エタンベツ）
12396,北海道 上川地方,比布（ピップ）
12411,北海道 上川地方,上川（カミカワ）
12442,北海道 上川地方,旭川（アサヒカワ）
12451,北海道 上川地方,東川（ヒガシカワ）
12457,北海道 上川地方,瑞穂（ミズホ）
12471,北海道 上川地方,層雲峡（ソウウンキョウ）
12501,北海道 上川地方,東神楽（ヒガシカグラ）
12512,北海道 上川地方,志比内（シビナイ）
12551,北海道 上川地方,美瑛（ビエイ）
12596,北海道 上川地方,上富良野（カミフラノ）
12607,北海道 上川地方,白金（シロガネ）
12626,北海道 上川地方,富良野（フラノ）
12632,北海道 上川地方,麓郷（ロクゴウ）
12686,北海道 上川地方,金山（カナヤマ）
12691,北海道 上川地方,幾寅（イクトラ）
12746,北海道 上川地方,占冠（シムカップ）
15041,北海道 上川地方,朱鞠内（シュマリナイ）
15076,北海道 上川地方,幌加内（ホロカナイ）
13061,北海道 留萌地方,天塩（テシオ）
13086,北海道 留萌地方,遠別（エンベツ）
13121,北海道 留萌地方,初山別（ショサンベツ）
13146,北海道 留萌地方,焼尻（ヤギシリ）
13181,北海道 留萌地方,羽幌（ハボロ）
13206,北海道 留萌地方,古丹別（コタンベツ）
13261,北海道 留萌地方,達布（タップ）
13277,北海道 留萌地方,留萌（ルモイ）
13311,北海道 留萌地方,増毛（マシケ）
13321,北海道 留萌地方,幌糠（ホロヌカ）
14026,北海道 石狩地方,浜益（ハママス）
14071,北海道 石狩地方,厚田（アツタ）
14101,北海道 石狩地方,新篠津（シンシノツ）
14116,北海道 石狩地方,山口（ヤマグチ）
14121,北海道 石狩地方,石狩（イシカリ）
14136,北海道 石狩地方,江別（エベツ）
14157,北海道 石狩地方,手稲山（テイネヤマ）
14163,北海道 石狩地方,札幌（サッポロ）
14191,北海道 石狩地方,小金湯（コガネユ）
14206,北海道 石狩地方,恵庭島松（エニワシママツ）
14286,北海道 石狩地方,支笏湖畔（シコツコハン）
14296,北海道 石狩地方,千歳（チトセ）
15116,北海道 空知地方,石狩沼田（イシカリヌマタ）
15161,北海道 空知地方,深川（フカガワ）
15197,北海道 空知地方,雨竜（ウリュウ）
15216,北海道 空知地方,新城（シンジョウ）
15231,北海道 空知地方,空知吉野（ソラチヨシノ）
15241,北海道 空知地方,滝川（タキカワ）
15247,北海道 空知地方,赤平（アカビラ）
15251,北海道 空知地方,芦別（アシベツ）
15276,北海道 空知地方,浦臼（ウラウス）
15311,北海道 空知地方,月形（ツキガタ）
15321,北海道 空知地方,美唄（ビバイ）
15356,北海道 空知地方,岩見沢（イワミザワ）
15391,北海道 空知地方,栗沢（クリサワ）
15431,北海道 空知地方,長沼（ナガヌマ）
15442,北海道 空知地方,夕張（ユウバリ）
15451,北海道 空知地方,鹿島（カシマ）
15491,北海道 空知地方,沼の沢（ヌマノサワ）
16026,北海道 後志地方,美国（ビクニ）
